inflatable	膨胀的、可充气的、得意的
pneumatic	气动的、充气的、气胎
prismatic	棱柱的、棱镜的
a plume of	一缕，一股（烟）
plume [pluːm]	vt.用羽毛装饰<div>n. 羽毛</div>
jam&nbsp;[dʒæm]	n.果酱；拥挤；困境；扣篮<div>vt. 使堵塞；挤进，使塞满；混杂；压碎</div>
"
plunge&nbsp;[plʌn(d)ʒ]"	n.投入；跳进<div>vi. 投入；陷入；跳进</div><div>vt. 使陷入；使投入；使插入</div>
archaeology&nbsp;[,ɑːkɪ'ɒlədʒɪ]	n.考古学<div>prehistoric archaeology 史前考古学 ; 史前考古</div><div>Classical Archaeology 古典考古学 ; 授正统考古学 ; 古典考古学</div>
thrive&nbsp;[θraɪv]	vi. 繁荣，兴旺；茁壮成长<div></div>
engaged&nbsp;[ɪn'geɪdʒd; en-]	adj. 使用中的，忙碌的<div>v. 保证；约定；同…订婚（engage的过去分词）</div>
at rest	静止；休息；安眠
dexterous&nbsp;['dekst(ə)rəs]	adj. 灵巧的；敏捷的；惯用右手的
admissible&nbsp;[əd'mɪsɪb(ə)l]	adj. 可容许的；可采纳的；可接受的
allegiance&nbsp;[ə'liːdʒ(ə)ns]	n. 效忠，忠诚；忠贞
 Chinese Communist Party	中国共产党
sect&nbsp;[sekt]	 宗派；宗教学
factionalism&nbsp;['fækʃənəlɪzəm]	n. 党派之争；党派主义；派别活动<div>previous Chinese dynasties collapsed because of factionalism</div>
politburo &nbsp; ['pɑlɪt'bjʊro]	（共产党中央委员会的）政治局；
在…和…之间没有所谓的冲突	there is no so-called conflict between the General Secretary of the CCP and the President.<div>在总书记和主席之间没有所谓的冲突</div>
中纪委	 Central Discipline Inspection Commission
decency&nbsp; ['diːs(ə)nsɪ]	n. 正派；体面；庄重；合乎礼仪；礼貌
retrieve&nbsp; [rɪ'triːv]	vt. [计] 检索；恢复；重新得到vi. 找回猎物n. [计] 检索；恢复，取回<div>He retrieved the important letter from the waste paper basket</div><div>他从废纸篓里找回了那封重要的信</div>
fallacy&nbsp;['fæləsɪ]	n. 谬论，谬误
pact&nbsp;[pækt]	n. 协定；公约；条约；契约<div> make a pact </div>
shrewd&nbsp; [ʃruːd]	adj. 精明的；狡猾的；机灵的<div>n. 精明（的人）；机灵（的人）</div>
well-off	adj. 富裕的；顺利的，走运的；繁荣昌盛的
dye&nbsp;[daɪ]	n. 染料；染色<div>vt. 染；把…染上颜色</div>
dogged&nbsp;	adj. 顽强的；顽固的<div>vt. 跟踪；尾随（dog的过去式）</div>
elite&nbsp; [[eɪˈliːt]]	n. 精英；精华；中坚分子
radiant&nbsp; ['reɪdɪənt]	adj. 辐射的；容光焕发的；光芒四射的<div>n. 光点；发光的物体</div>
dispenset&nbsp; [dɪ'spens]	vt. 分配，分发；免除；执行<div>vi. 免除，豁免</div>
pearls of wisdom	名言警句
eccentric&nbsp;[ɪk'sentrɪk; ek-]	adj. 古怪的，反常的n. 古怪的人
venue&nbsp;['venjuː]	n. 审判地；犯罪地点；发生地点；集合地点
luminous&nbsp;['luːmɪnəs]	adj. 发光的；明亮的；清楚的
刹车踏板；制动踏板	brake pedal
